word,chinese
book,书
pen,钢笔
pencil,铅笔
pencil case,铅笔袋
rubber,橡皮
ruler,尺子
school bag,书包
bone,骨头
hamburger,汉堡包
salad,沙拉
sausage,香肠
tomato,西红柿
pizza,比萨饼
one,一
two,二
three,三
four,四
five,五
six,六
seven,七
eight,八
nine,九
ten,十
tall,高的
short,短的
big,大的
little,小的
fat,胖的
thin,瘦的
dancer,舞蹈演员
doctor,医生
nurse,护士
policeman,男警察
policewoman,女警察
postman,邮递员
teacher,教师
frog,青蛙
mouse,老鼠
parrot,鹦鹉
rabbit,兔子
tortoise,乌龟
anorak,带风帽的夹克
cap,帽子
T-shirt,T恤衫
shirt,衬衫
sweater,毛衣
behind,在……后面
in,在……里面
in front of,在……前面
on,在……上面
under,在……下面
